"Ebene";"EDV-Code";"Code";"Titel";"korrespondierende Ebene";"korrespondierender EDV-Code";"korrespondierender Code";"korrespondierender Titel";"Korrespondenz-Beschreibung"
5;"G46330";"G 46.33-0";"Großhandel mit Milch, Milcherzeugnissen, Eiern, Speiseölen und Nahrungsfetten";4;"G4633";"G 46.33";"Großhandel mit Milch, Milcherzeugnissen, Eiern, Speiseölen und Nahrungsfetten";""
5;"G46341";"G 46.34-1";"Großhandel mit Wein und Spirituosen";4;"G4634";"G 46.34";"Großhandel mit Getränken";""
5;"G46349";"G 46.34-9";"Großhandel mit sonstigen Getränken";4;"G4634";"G 46.34";"Großhandel mit Getränken";""
5;"G46350";"G 46.35-0";"Großhandel mit Tabakwaren";4;"G4635";"G 46.35";"Großhandel mit Tabakwaren";""
5;"G46360";"G 46.36-0";"Großhandel mit Zucker, Süßwaren und Backwaren";4;"G4636";"G 46.36";"Großhandel mit Zucker, Süßwaren und Backwaren";""
5;"G46370";"G 46.37-0";"Großhandel mit Kaffee, Tee, Kakao und Gewürzen";4;"G4637";"G 46.37";"Großhandel mit Kaffee, Tee, Kakao und Gewürzen";""
5;"G46380";"G 46.38-0";"Großhandel mit sonstigen Nahrungs- und Genussmitteln";4;"G4638";"G 46.38";"Großhandel mit sonstigen Nahrungs- und Genussmitteln";""
5;"G46390";"G 46.39-0";"Großhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt";4;"G4639";"G 46.39";"Großhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt";""
5;"G46410";"G 46.41-0";"Großhandel mit Textilien";4;"G4641";"G 46.41";"Großhandel mit Textilien";""
5;"G46421";"G 46.42-1";"Großhandel mit Bekleidung";4;"G4642";"G 46.42";"Großhandel mit Bekleidung und Schuhen";""
5;"G46422";"G 46.42-2";"Großhandel mit Schuhen";4;"G4642";"G 46.42";"Großhandel mit Bekleidung und Schuhen";""
5;"G46431";"G 46.43-1";"Großhandel mit Foto- und optischen Erzeugnissen";4;"G4643";"G 46.43";"Großhandel mit Foto- und optischen Erzeugnissen, elektrischen Haushaltsgeräten und Geräten der Unterhaltungselektronik";""
5;"G46432";"G 46.43-2";"Großhandel mit elektrischen Haushaltsgeräten";4;"G4643";"G 46.43";"Großhandel mit Foto- und optischen Erzeugnissen, elektrischen Haushaltsgeräten und Geräten der Unterhaltungselektronik";""
5;"G46433";"G 46.43-3";"Großhandel mit Geräten der Unterhaltungselektronik";4;"G4643";"G 46.43";"Großhandel mit Foto- und optischen Erzeugnissen, elektrischen Haushaltsgeräten und Geräten der Unterhaltungselektronik";""
5;"G46440";"G 46.44-0";"Großhandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln";4;"G4644";"G 46.44";"Großhandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln";""
5;"G46450";"G 46.45-0";"Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln";4;"G4645";"G 46.45";"Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln";""
5;"G46461";"G 46.46-1";"Großhandel mit pharmazeutischen Erzeugnissen";4;"G4646";"G 46.46";"Großhandel mit pharmazeutischen Erzeugnissen und medizinischen Hilfsmitteln";""
5;"G46462";"G 46.46-2";"Großhandel mit medizinischen und orthopädischen Artikeln und Laborbedarf";4;"G4646";"G 46.46";"Großhandel mit pharmazeutischen Erzeugnissen und medizinischen Hilfsmitteln";""
5;"G46470";"G 46.47-0";"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten";4;"G4647";"G 46.47";"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten";""
5;"G46480";"G 46.48-0";"Großhandel mit Uhren und Schmuck";4;"G4648";"G 46.48";"Großhandel mit Uhren und Schmuck";""
5;"G46491";"G 46.49-1";"Großhandel mit Schreibwaren und Bürobedarf";4;"G4649";"G 46.49";"Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern";""
5;"G46492";"G 46.49-2";"Großhandel mit Büchern, Zeitschriften und Zeitungen";4;"G4649";"G 46.49";"Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern";""
5;"G46493";"G 46.49-3";"Großhandel mit Sportartikeln";4;"G4649";"G 46.49";"Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern";""
5;"G46494";"G 46.49-4";"Großhandel mit Spielwaren und Musikinstrumenten";4;"G4649";"G 46.49";"Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern";""
5;"G46499";"G 46.49-9";"Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern a.n.g.";4;"G4649";"G 46.49";"Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern";""
5;"G46500";"G 46.50-0";"Großhandel mit Geräten der Informations- und Kommunikationstechnik";4;"G4650";"G 46.50";"Großhandel mit Geräten der Informations- und Kommunikationstechnik";""
5;"G46610";"G 46.61-0";"Großhandel mit landwirtschaftlichen Maschinen und Geräten";4;"G4661";"G 46.61";"Großhandel mit landwirtschaftlichen Maschinen und Geräten";""
5;"G46620";"G 46.62-0";"Großhandel mit Werkzeugmaschinen";4;"G4662";"G 46.62";"Großhandel mit Werkzeugmaschinen";""
