"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
5;"D35160";"D 35.16-0";"Storage of electricity";""
3;"D352";"D 35.2";"Manufacture of gas, and distribution of gaseous fuels through mains";""
4;"D3521";"D 35.21";"Manufacture of gas";""
5;"D35210";"D 35.21-0";"Manufacture of gas";""
4;"D3522";"D 35.22";"Distribution of gaseous fuels through mains";""
5;"D35220";"D 35.22-0";"Distribution of gaseous fuels through mains";""
4;"D3523";"D 35.23";"Trade of gas through mains";""
5;"D35230";"D 35.23-0";"Trade of gas through mains";""
4;"D3524";"D 35.24";"Storage of gas as part of network supply services";""
5;"D35240";"D 35.24-0";"Storage of gas as part of network supply services";""
3;"D353";"D 35.3";"Steam and air conditioning supply";""
4;"D3530";"D 35.30";"Steam and air conditioning supply";""
5;"D35300";"D 35.30-0";"Steam and air conditioning supply";""
3;"D354";"D 35.4";"Activities of brokers and agents for electric power and natural gas";""
4;"D3540";"D 35.40";"Activities of brokers and agents for electric power and natural gas";""
5;"D35400";"D 35.40-0";"Activities of brokers and agents for electric power and natural gas";""
1;"E";"E";"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES";""
2;"E36";"E 36";"Water collection, treatment and supply";""
3;"E360";"E 36.0";"Water collection, treatment and supply";""
4;"E3600";"E 36.00";"Water collection, treatment and supply";""
5;"E36000";"E 36.00-0";"Water collection, treatment and supply";""
2;"E37";"E 37";"Sewerage";""
3;"E370";"E 37.0";"Sewerage";""
4;"E3700";"E 37.00";"Sewerage";""
5;"E37000";"E 37.00-0";"Sewerage";""
2;"E38";"E 38";"Waste collection, recovery and disposal activities";""
3;"E381";"E 38.1";"Waste collection";""
4;"E3811";"E 38.11";"Collection of non-hazardous waste";""
5;"E38110";"E 38.11-0";"Collection of non-hazardous waste";""
4;"E3812";"E 38.12";"Collection of hazardous waste";""
5;"E38120";"E 38.12-0";"Collection of hazardous waste";""
3;"E382";"E 38.2";"Waste recovery";""
4;"E3821";"E 38.21";"Materials recovery";""
5;"E38211";"E 38.21-1";"Recovery of sorted iron and non-ferrous metals";""
5;"E38219";"E 38.21-9";"Recovery of other sorted materials";""
4;"E3822";"E 38.22";"Energy recovery";""
5;"E38220";"E 38.22-0";"Energy recovery";""
4;"E3823";"E 38.23";"Other waste recovery";""
5;"E38230";"E 38.23-0";"Other waste recovery";""
3;"E383";"E 38.3";"Waste disposal without recovery";""
4;"E3831";"E 38.31";"Incineration without energy recovery";""
5;"E38310";"E 38.31-0";"Incineration without energy recovery";""
4;"E3832";"E 38.32";"Landfilling or permanent storage";""
5;"E38320";"E 38.32-0";"Landfilling or permanent storage";""
4;"E3833";"E 38.33";"Other waste disposal";""
5;"E38330";"E 38.33-0";"Other waste disposal";""
2;"E39";"E 39";"Remediation activities and other waste management service activities";""
3;"E390";"E 39.0";"Remediation activities and other waste management service activities";""
4;"E3900";"E 39.00";"Remediation activities and other waste management service activities";""
5;"E39000";"E 39.00-0";"Remediation activities and other waste management service activities";""
1;"F";"F";"CONSTRUCTION";""
2;"F41";"F 41";"Construction of residential and non-residential buildings";""
3;"F410";"F 41.0";"Construction of residential and non-residential buildings";""
